State of Residence,State of Residence Code,Age of Mother 9,Age of Mother 9 Code,Mother's Education,Mother's Education Code,Year,Year Code,Births,% of Total Births,Average Age of Mother (years),Standard Deviation for Average Age of Mother
Alabama,1,20-24 years,20-24,9th through 12th grade with no diploma,2,2023,2023,1228,0.01%,21.91,1.41
Alabama,1,20-24 years,20-24,High school graduate or GED completed,3,2018,2018,6966,0.04%,22,1.41
Alabama,1,20-24 years,20-24,High school graduate or GED completed,3,2019,2019,7077,0.04%,21.99,1.39
Alabama,1,20-24 years,20-24,High school graduate or GED completed,3,2020,2020,6999,0.04%,21.98,1.4
Alabama,1,20-24 years,20-24,High school graduate or GED completed,3,2021,2021,7027,0.04%,22,1.4
Alabama,1,20-24 years,20-24,High school graduate or GED completed,3,2022,2022,6940,0.04%,22.02,1.39
Alabama,1,20-24 years,20-24,High school graduate or GED completed,3,2023,2023,6922,0.04%,22.05,1.37
Alabama,1,20-24 years,20-24,"Some college credit, but not a degree",4,2018,2018,3985,0.02%,22.23,1.36
Alabama,1,20-24 years,20-24,"Some college credit, but not a degree",4,2019,2019,3934,0.02%,22.23,1.36
Alabama,1,20-24 years,20-24,"Some college credit, but not a degree",4,2020,2020,3381,0.02%,22.26,1.36
Alabama,1,20-24 years,20-24,"Some college credit, but not a degree",4,2021,2021,3264,0.02%,22.3,1.32
Alabama,1,20-24 years,20-24,"Some college credit, but not a degree",4,2022,2022,3029,0.02%,22.29,1.33
Alabama,1,20-24 years,20-24,"Some college credit, but not a degree",4,2023,2023,2690,0.02%,22.38,1.33
Alabama,1,20-24 years,20-24,"Associate degree (AA, AS)",5,2018,2018,879,0.01%,22.76,1.19
Alabama,1,20-24 years,20-24,"Associate degree (AA, AS)",5,2019,2019,822,0.00%,22.74,1.2
Alabama,1,20-24 years,20-24,"Associate degree (AA, AS)",5,2020,2020,883,0.01%,22.78,1.22
Alabama,1,20-24 years,20-24,"Associate degree (AA, AS)",5,2021,2021,805,0.00%,22.78,1.18
Alabama,1,20-24 years,20-24,"Associate degree (AA, AS)",5,2022,2022,819,0.00%,22.92,1.11
Alabama,1,20-24 years,20-24,"Associate degree (AA, AS)",5,2023,2023,793,0.00%,22.83,1.18
Alabama,1,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,2018,2018,615,0.00%,23.3,0.85
Alabama,1,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,2019,2019,647,0.00%,23.31,0.86
Alabama,1,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,2020,2020,633,0.00%,23.38,0.79
Alabama,1,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,2021,2021,718,0.00%,23.29,0.88
Alabama,1,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,2022,2022,709,0.00%,23.35,0.84
Alabama,1,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,2023,2023,706,0.00%,23.37,0.82
Alabama,1,20-24 years,20-24,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2018,2018,47,0.00%,23.62,0.7
Alabama,1,20-24 years,20-24,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2019,2019,50,0.00%,23.6,0.8
Alabama,1,20-24 years,20-24,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2020,2020,53,0.00%,23.77,0.54
Alabama,1,20-24 years,20-24,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2021,2021,54,0.00%,23.65,0.58
Alabama,1,20-24 years,20-24,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2022,2022,71,0.00%,23.63,0.68
Alabama,1,20-24 years,20-24,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2023,2023,64,0.00%,23.61,0.68
Alabama,1,20-24 years,20-24,Unknown or Not Stated,Unk,2018,2018,13,0.00%,21.31,1.07
Alabama,1,20-24 years,20-24,Unknown or Not Stated,Unk,2019,2019,15,0.00%,21.6,1.58
Alabama,1,20-24 years,20-24,Unknown or Not Stated,Unk,2020,2020,13,0.00%,22.77,1.31
Alabama,1,20-24 years,20-24,Unknown or Not Stated,Unk,2021,2021,10,0.00%,22.5,1.57
Alabama,1,20-24 years,20-24,Unknown or Not Stated,Unk,2022,2022,11,0.00%,21.91,1.56
Alabama,1,20-24 years,20-24,Unknown or Not Stated,Unk,2023,2023,12,0.00%,22.17,1.34
Alabama,1,25-29 years,25-29,8th grade or less,1,2018,2018,159,0.00%,26.8,1.26
Alabama,1,25-29 years,25-29,8th grade or less,1,2019,2019,164,0.00%,27.13,1.42
Alabama,1,25-29 years,25-29,8th grade or less,1,2020,2020,118,0.00%,27.12,1.42
Alabama,1,25-29 years,25-29,8th grade or less,1,2021,2021,98,0.00%,27.11,1.44
Alabama,1,25-29 years,25-29,8th grade or less,1,2022,2022,91,0.00%,27.03,1.48
Alabama,1,25-29 years,25-29,8th grade or less,1,2023,2023,61,0.00%,27.07,1.48
Alabama,1,25-29 years,25-29,9th through 12th grade with no diploma,2,2018,2018,1343,0.01%,26.77,1.33
Alabama,1,25-29 years,25-29,9th through 12th grade with no diploma,2,2019,2019,1238,0.01%,26.82,1.36
Alabama,1,25-29 years,25-29,9th through 12th grade with no diploma,2,2020,2020,1139,0.01%,26.91,1.39
Alabama,1,25-29 years,25-29,9th through 12th grade with no diploma,2,2021,2021,953,0.01%,26.9,1.41
Alabama,1,25-29 years,25-29,9th through 12th grade with no diploma,2,2022,2022,891,0.01%,26.93,1.4
Alabama,1,25-29 years,25-29,9th through 12th grade with no diploma,2,2023,2023,801,0.00%,26.88,1.45
Alabama,1,25-29 years,25-29,High school graduate or GED completed,3,2018,2018,5100,0.03%,26.74,1.39
Alabama,1,25-29 years,25-29,High school graduate or GED completed,3,2019,2019,5403,0.03%,26.81,1.41
Alabama,1,25-29 years,25-29,High school graduate or GED completed,3,2020,2020,5294,0.03%,26.79,1.4
Alabama,1,25-29 years,25-29,High school graduate or GED completed,3,2021,2021,5285,0.03%,26.85,1.39
Alabama,1,25-29 years,25-29,High school graduate or GED completed,3,2022,2022,5489,0.03%,26.83,1.41
Alabama,1,25-29 years,25-29,High school graduate or GED completed,3,2023,2023,5269,0.03%,26.8,1.4
Alabama,1,25-29 years,25-29,"Some college credit, but not a degree",4,2018,2018,4189,0.02%,26.89,1.41
Alabama,1,25-29 years,25-29,"Some college credit, but not a degree",4,2019,2019,4272,0.03%,26.9,1.39
Alabama,1,25-29 years,25-29,"Some college credit, but not a degree",4,2020,2020,3986,0.02%,26.9,1.39
Alabama,1,25-29 years,25-29,"Some college credit, but not a degree",4,2021,2021,3867,0.02%,26.96,1.41
Alabama,1,25-29 years,25-29,"Some college credit, but not a degree",4,2022,2022,3491,0.02%,26.97,1.41
Alabama,1,25-29 years,25-29,"Some college credit, but not a degree",4,2023,2023,3300,0.02%,26.98,1.42
Alabama,1,25-29 years,25-29,"Associate degree (AA, AS)",5,2018,2018,1947,0.01%,27.03,1.37
Alabama,1,25-29 years,25-29,"Associate degree (AA, AS)",5,2019,2019,1939,0.01%,27.05,1.38
Alabama,1,25-29 years,25-29,"Associate degree (AA, AS)",5,2020,2020,1926,0.01%,27.1,1.38
Alabama,1,25-29 years,25-29,"Associate degree (AA, AS)",5,2021,2021,1951,0.01%,26.98,1.4
Alabama,1,25-29 years,25-29,"Associate degree (AA, AS)",5,2022,2022,1917,0.01%,27,1.39
Alabama,1,25-29 years,25-29,"Associate degree (AA, AS)",5,2023,2023,1872,0.01%,27,1.4
Alabama,1,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,2018,2018,3076,0.02%,27.28,1.35
Alabama,1,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,2019,2019,3040,0.02%,27.29,1.38
Alabama,1,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,2020,2020,3062,0.02%,27.21,1.4
Alabama,1,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,2021,2021,3139,0.02%,27.22,1.37
Alabama,1,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,2022,2022,3314,0.02%,27.15,1.38
Alabama,1,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,2023,2023,3246,0.02%,27.18,1.38
Alabama,1,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2018,2018,942,0.01%,27.75,1.21
Alabama,1,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2019,2019,949,0.01%,27.64,1.3
Alabama,1,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2020,2020,1020,0.01%,27.54,1.33
Alabama,1,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2021,2021,1150,0.01%,27.53,1.27
Alabama,1,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2022,2022,1240,0.01%,27.54,1.27
Alabama,1,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2023,2023,1244,0.01%,27.53,1.26
Alabama,1,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2018,2018,165,0.00%,28.14,1
Alabama,1,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2019,2019,156,0.00%,27.93,1.12
Alabama,1,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2020,2020,162,0.00%,27.99,1.17
Alabama,1,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2021,2021,189,0.00%,28.02,1.05
Alabama,1,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2022,2022,208,0.00%,27.73,1.17
Alabama,1,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2023,2023,215,0.00%,27.91,1.08
Alabama,1,25-29 years,25-29,Unknown or Not Stated,Unk,2018,2018,16,0.00%,27.06,1.48
Alabama,1,25-29 years,25-29,Unknown or Not Stated,Unk,2019,2019,14,0.00%,27.57,1.29
Alabama,1,25-29 years,25-29,Unknown or Not Stated,Unk,2020,2020,11,0.00%,27,1.54
Alabama,1,25-29 years,25-29,Unknown or Not Stated,Unk,2021,2021,13,0.00%,27.62,1.27
Alabama,1,25-29 years,25-29,Unknown or Not Stated,Unk,2022,2022,18,0.00%,26.94,1.31
Alabama,1,25-29 years,25-29,Unknown or Not Stated,Unk,2023,2023,14,0.00%,27.57,1.12
Alabama,1,30-34 years,30-34,8th grade or less,1,2018,2018,66,0.00%,31.62,1.4
Alabama,1,30-34 years,30-34,8th grade or less,1,2019,2019,107,0.00%,31.5,1.42
Alabama,1,30-34 years,30-34,8th grade or less,1,2020,2020,63,0.00%,31.76,1.46
Alabama,1,30-34 years,30-34,8th grade or less,1,2021,2021,74,0.00%,31.58,1.35
Alabama,1,30-34 years,30-34,8th grade or less,1,2022,2022,90,0.00%,31.73,1.34
Alabama,1,30-34 years,30-34,8th grade or less,1,2023,2023,75,0.00%,32.15,1.32
Alabama,1,30-34 years,30-34,9th through 12th grade with no diploma,2,2018,2018,655,0.00%,31.71,1.38
Alabama,1,30-34 years,30-34,9th through 12th grade with no diploma,2,2019,2019,623,0.00%,31.59,1.36
Alabama,1,30-34 years,30-34,9th through 12th grade with no diploma,2,2020,2020,632,0.00%,31.68,1.38
Alabama,1,30-34 years,30-34,9th through 12th grade with no diploma,2,2021,2021,600,0.00%,31.64,1.34
Alabama,1,30-34 years,30-34,9th through 12th grade with no diploma,2,2022,2022,591,0.00%,31.8,1.38
Alabama,1,30-34 years,30-34,9th through 12th grade with no diploma,2,2023,2023,605,0.00%,31.82,1.38
Alabama,1,30-34 years,30-34,High school graduate or GED completed,3,2018,2018,2336,0.01%,31.66,1.39
Alabama,1,30-34 years,30-34,High school graduate or GED completed,3,2019,2019,2456,0.01%,31.66,1.38
Alabama,1,30-34 years,30-34,High school graduate or GED completed,3,2020,2020,2602,0.02%,31.66,1.37
Alabama,1,30-34 years,30-34,High school graduate or GED completed,3,2021,2021,2717,0.02%,31.65,1.38
Alabama,1,30-34 years,30-34,High school graduate or GED completed,3,2022,2022,2844,0.02%,31.62,1.38
Alabama,1,30-34 years,30-34,High school graduate or GED completed,3,2023,2023,2925,0.02%,31.7,1.37
Alabama,1,30-34 years,30-34,"Some college credit, but not a degree",4,2018,2018,2364,0.01%,31.71,1.35
Alabama,1,30-34 years,30-34,"Some college credit, but not a degree",4,2019,2019,2350,0.01%,31.69,1.38
Alabama,1,30-34 years,30-34,"Some college credit, but not a degree",4,2020,2020,2351,0.01%,31.67,1.38
Alabama,1,30-34 years,30-34,"Some college credit, but not a degree",4,2021,2021,2330,0.01%,31.62,1.38
Alabama,1,30-34 years,30-34,"Some college credit, but not a degree",4,2022,2022,2453,0.01%,31.7,1.38
Alabama,1,30-34 years,30-34,"Some college credit, but not a degree",4,2023,2023,2411,0.01%,31.73,1.38
Alabama,1,30-34 years,30-34,"Associate degree (AA, AS)",5,2018,2018,1346,0.01%,31.67,1.37
