State of Residence,State of Residence Code,Age of Mother 9,Age of Mother 9 Code,Mother's Education,Mother's Education Code,Year,Year Code,Births,% of Total Births,Average Age of Mother (years),Standard Deviation for Average Age of Mother
Kansas,20,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2023,2023,178,0.00%,27.87,1.05
Kansas,20,25-29 years,25-29,Unknown or Not Stated,Unk,2018,2018,25,0.00%,26.68,1.35
Kansas,20,25-29 years,25-29,Unknown or Not Stated,Unk,2019,2019,24,0.00%,26.71,1.21
Kansas,20,25-29 years,25-29,Unknown or Not Stated,Unk,2020,2020,41,0.00%,27.1,1.46
Kansas,20,25-29 years,25-29,Unknown or Not Stated,Unk,2021,2021,39,0.00%,27.1,1.48
Kansas,20,25-29 years,25-29,Unknown or Not Stated,Unk,2022,2022,38,0.00%,27.21,1.38
Kansas,20,25-29 years,25-29,Unknown or Not Stated,Unk,2023,2023,30,0.00%,27.1,1.42
Kansas,20,30-34 years,30-34,8th grade or less,1,2018,2018,57,0.00%,31.6,1.24
Kansas,20,30-34 years,30-34,8th grade or less,1,2019,2019,53,0.00%,31.64,1.43
Kansas,20,30-34 years,30-34,8th grade or less,1,2020,2020,67,0.00%,31.87,1.42
Kansas,20,30-34 years,30-34,8th grade or less,1,2021,2021,56,0.00%,31.71,1.42
Kansas,20,30-34 years,30-34,8th grade or less,1,2022,2022,70,0.00%,31.94,1.33
Kansas,20,30-34 years,30-34,8th grade or less,1,2023,2023,47,0.00%,31.96,1.53
Kansas,20,30-34 years,30-34,9th through 12th grade with no diploma,2,2018,2018,252,0.00%,31.54,1.4
Kansas,20,30-34 years,30-34,9th through 12th grade with no diploma,2,2019,2019,237,0.00%,31.83,1.39
Kansas,20,30-34 years,30-34,9th through 12th grade with no diploma,2,2020,2020,270,0.00%,31.54,1.33
Kansas,20,30-34 years,30-34,9th through 12th grade with no diploma,2,2021,2021,240,0.00%,31.75,1.37
Kansas,20,30-34 years,30-34,9th through 12th grade with no diploma,2,2022,2022,232,0.00%,31.56,1.39
Kansas,20,30-34 years,30-34,9th through 12th grade with no diploma,2,2023,2023,227,0.00%,31.82,1.44
Kansas,20,30-34 years,30-34,High school graduate or GED completed,3,2018,2018,1146,0.01%,31.81,1.38
Kansas,20,30-34 years,30-34,High school graduate or GED completed,3,2019,2019,1055,0.01%,31.63,1.38
Kansas,20,30-34 years,30-34,High school graduate or GED completed,3,2020,2020,1094,0.01%,31.68,1.39
Kansas,20,30-34 years,30-34,High school graduate or GED completed,3,2021,2021,1264,0.01%,31.67,1.39
Kansas,20,30-34 years,30-34,High school graduate or GED completed,3,2022,2022,1284,0.01%,31.62,1.36
Kansas,20,30-34 years,30-34,High school graduate or GED completed,3,2023,2023,1149,0.01%,31.7,1.39
Kansas,20,30-34 years,30-34,"Some college credit, but not a degree",4,2018,2018,1457,0.01%,31.66,1.36
Kansas,20,30-34 years,30-34,"Some college credit, but not a degree",4,2019,2019,1349,0.01%,31.76,1.41
Kansas,20,30-34 years,30-34,"Some college credit, but not a degree",4,2020,2020,1339,0.01%,31.74,1.41
Kansas,20,30-34 years,30-34,"Some college credit, but not a degree",4,2021,2021,1270,0.01%,31.73,1.4
Kansas,20,30-34 years,30-34,"Some college credit, but not a degree",4,2022,2022,1200,0.01%,31.76,1.39
Kansas,20,30-34 years,30-34,"Some college credit, but not a degree",4,2023,2023,1231,0.01%,31.68,1.4
Kansas,20,30-34 years,30-34,"Associate degree (AA, AS)",5,2018,2018,967,0.01%,31.78,1.4
Kansas,20,30-34 years,30-34,"Associate degree (AA, AS)",5,2019,2019,910,0.01%,31.68,1.37
Kansas,20,30-34 years,30-34,"Associate degree (AA, AS)",5,2020,2020,868,0.01%,31.82,1.36
Kansas,20,30-34 years,30-34,"Associate degree (AA, AS)",5,2021,2021,869,0.01%,31.78,1.39
Kansas,20,30-34 years,30-34,"Associate degree (AA, AS)",5,2022,2022,907,0.01%,31.8,1.41
Kansas,20,30-34 years,30-34,"Associate degree (AA, AS)",5,2023,2023,955,0.01%,31.88,1.39
Kansas,20,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,2018,2018,2899,0.02%,31.8,1.38
Kansas,20,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,2019,2019,2877,0.02%,31.79,1.39
Kansas,20,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,2020,2020,2790,0.02%,31.82,1.39
Kansas,20,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,2021,2021,3023,0.02%,31.83,1.36
Kansas,20,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,2022,2022,2904,0.02%,31.79,1.37
Kansas,20,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,2023,2023,2825,0.02%,31.88,1.39
Kansas,20,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2018,2018,1330,0.01%,31.98,1.4
Kansas,20,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2019,2019,1348,0.01%,31.99,1.37
Kansas,20,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2020,2020,1250,0.01%,31.96,1.37
Kansas,20,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2021,2021,1297,0.01%,31.97,1.36
Kansas,20,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2022,2022,1292,0.01%,32.02,1.4
Kansas,20,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2023,2023,1347,0.01%,31.9,1.41
Kansas,20,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2018,2018,349,0.00%,32.08,1.34
Kansas,20,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2019,2019,386,0.00%,32.03,1.38
Kansas,20,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2020,2020,406,0.00%,32.14,1.39
Kansas,20,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2021,2021,451,0.00%,31.84,1.39
Kansas,20,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2022,2022,419,0.00%,32.06,1.37
Kansas,20,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2023,2023,442,0.00%,32.01,1.37
Kansas,20,30-34 years,30-34,Unknown or Not Stated,Unk,2018,2018,29,0.00%,32.17,1.29
Kansas,20,30-34 years,30-34,Unknown or Not Stated,Unk,2019,2019,23,0.00%,31.91,1.5
Kansas,20,30-34 years,30-34,Unknown or Not Stated,Unk,2020,2020,36,0.00%,32,1.39
Kansas,20,30-34 years,30-34,Unknown or Not Stated,Unk,2021,2021,33,0.00%,31.88,1.2
Kansas,20,30-34 years,30-34,Unknown or Not Stated,Unk,2022,2022,45,0.00%,32.29,1.34
Kansas,20,30-34 years,30-34,Unknown or Not Stated,Unk,2023,2023,52,0.00%,32.06,1.46
Kansas,20,35-39 years,35-39,8th grade or less,1,2018,2018,24,0.00%,36.79,1.35
Kansas,20,35-39 years,35-39,8th grade or less,1,2019,2019,29,0.00%,36.52,1.35
Kansas,20,35-39 years,35-39,8th grade or less,1,2020,2020,24,0.00%,36.29,1.24
Kansas,20,35-39 years,35-39,8th grade or less,1,2021,2021,30,0.00%,36.57,1.45
Kansas,20,35-39 years,35-39,8th grade or less,1,2022,2022,31,0.00%,36.55,1.32
Kansas,20,35-39 years,35-39,8th grade or less,1,2023,2023,34,0.00%,36.44,1.31
Kansas,20,35-39 years,35-39,9th through 12th grade with no diploma,2,2018,2018,89,0.00%,36.44,1.28
Kansas,20,35-39 years,35-39,9th through 12th grade with no diploma,2,2019,2019,109,0.00%,36.39,1.39
Kansas,20,35-39 years,35-39,9th through 12th grade with no diploma,2,2020,2020,94,0.00%,36.63,1.19
Kansas,20,35-39 years,35-39,9th through 12th grade with no diploma,2,2021,2021,82,0.00%,36.54,1.37
Kansas,20,35-39 years,35-39,9th through 12th grade with no diploma,2,2022,2022,92,0.00%,36.28,1.18
Kansas,20,35-39 years,35-39,9th through 12th grade with no diploma,2,2023,2023,91,0.00%,36.33,1.37
Kansas,20,35-39 years,35-39,High school graduate or GED completed,3,2018,2018,418,0.00%,36.43,1.34
Kansas,20,35-39 years,35-39,High school graduate or GED completed,3,2019,2019,364,0.00%,36.55,1.34
Kansas,20,35-39 years,35-39,High school graduate or GED completed,3,2020,2020,385,0.00%,36.52,1.37
Kansas,20,35-39 years,35-39,High school graduate or GED completed,3,2021,2021,514,0.00%,36.55,1.39
Kansas,20,35-39 years,35-39,High school graduate or GED completed,3,2022,2022,508,0.00%,36.45,1.31
Kansas,20,35-39 years,35-39,High school graduate or GED completed,3,2023,2023,434,0.00%,36.46,1.32
Kansas,20,35-39 years,35-39,"Some college credit, but not a degree",4,2018,2018,534,0.00%,36.51,1.29
Kansas,20,35-39 years,35-39,"Some college credit, but not a degree",4,2019,2019,586,0.00%,36.46,1.36
Kansas,20,35-39 years,35-39,"Some college credit, but not a degree",4,2020,2020,524,0.00%,36.63,1.37
Kansas,20,35-39 years,35-39,"Some college credit, but not a degree",4,2021,2021,552,0.00%,36.58,1.33
Kansas,20,35-39 years,35-39,"Some college credit, but not a degree",4,2022,2022,491,0.00%,36.58,1.34
Kansas,20,35-39 years,35-39,"Some college credit, but not a degree",4,2023,2023,483,0.00%,36.56,1.31
Kansas,20,35-39 years,35-39,"Associate degree (AA, AS)",5,2018,2018,343,0.00%,36.56,1.32
Kansas,20,35-39 years,35-39,"Associate degree (AA, AS)",5,2019,2019,345,0.00%,36.47,1.39
Kansas,20,35-39 years,35-39,"Associate degree (AA, AS)",5,2020,2020,326,0.00%,36.43,1.32
Kansas,20,35-39 years,35-39,"Associate degree (AA, AS)",5,2021,2021,367,0.00%,36.57,1.35
Kansas,20,35-39 years,35-39,"Associate degree (AA, AS)",5,2022,2022,376,0.00%,36.47,1.33
Kansas,20,35-39 years,35-39,"Associate degree (AA, AS)",5,2023,2023,375,0.00%,36.53,1.37
Kansas,20,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,2018,2018,1202,0.01%,36.42,1.33
Kansas,20,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,2019,2019,1170,0.01%,36.41,1.26
Kansas,20,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,2020,2020,1126,0.01%,36.44,1.32
Kansas,20,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,2021,2021,1259,0.01%,36.37,1.32
Kansas,20,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,2022,2022,1183,0.01%,36.4,1.33
Kansas,20,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,2023,2023,1230,0.01%,36.41,1.33
Kansas,20,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2018,2018,594,0.00%,36.34,1.27
Kansas,20,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2019,2019,740,0.00%,36.48,1.35
Kansas,20,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2020,2020,641,0.00%,36.39,1.27
Kansas,20,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2021,2021,697,0.00%,36.5,1.33
Kansas,20,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2022,2022,684,0.00%,36.46,1.33
Kansas,20,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2023,2023,687,0.00%,36.38,1.3
Kansas,20,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2018,2018,201,0.00%,36.52,1.36
Kansas,20,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2019,2019,215,0.00%,36.36,1.27
Kansas,20,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2020,2020,195,0.00%,36.52,1.35
Kansas,20,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2021,2021,230,0.00%,36.43,1.33
Kansas,20,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2022,2022,218,0.00%,36.39,1.32
Kansas,20,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2023,2023,238,0.00%,36.36,1.3
Kansas,20,35-39 years,35-39,Unknown or Not Stated,Unk,2018,2018,18,0.00%,36.78,1.44
Kansas,20,35-39 years,35-39,Unknown or Not Stated,Unk,2019,2019,20,0.00%,36.3,1.23
Kansas,20,35-39 years,35-39,Unknown or Not Stated,Unk,2020,2020,18,0.00%,36.89,1.37
Kansas,20,35-39 years,35-39,Unknown or Not Stated,Unk,2021,2021,19,0.00%,36.74,1.45
Kansas,20,35-39 years,35-39,Unknown or Not Stated,Unk,2022,2022,28,0.00%,36.86,1.71
Kansas,20,35-39 years,35-39,Unknown or Not Stated,Unk,2023,2023,19,0.00%,36.37,1.09
Kansas,20,40-44 years,40-44,8th grade or less,1,2023,2023,12,0.00%,41.08,1.04
Kansas,20,40-44 years,40-44,9th through 12th grade with no diploma,2,2018,2018,15,0.00%,41.2,1.28
Kansas,20,40-44 years,40-44,9th through 12th grade with no diploma,2,2019,2019,16,0.00%,41,1.17
Kansas,20,40-44 years,40-44,9th through 12th grade with no diploma,2,2020,2020,18,0.00%,41,1.41
Kansas,20,40-44 years,40-44,9th through 12th grade with no diploma,2,2021,2021,16,0.00%,40.94,0.97
Kansas,20,40-44 years,40-44,9th through 12th grade with no diploma,2,2022,2022,15,0.00%,41.53,1.15
Kansas,20,40-44 years,40-44,9th through 12th grade with no diploma,2,2023,2023,21,0.00%,41.1,1.31
Kansas,20,40-44 years,40-44,High school graduate or GED completed,3,2018,2018,71,0.00%,41.21,1.26
Kansas,20,40-44 years,40-44,High school graduate or GED completed,3,2019,2019,85,0.00%,40.93,1.14
Kansas,20,40-44 years,40-44,High school graduate or GED completed,3,2020,2020,66,0.00%,40.91,1.04
Kansas,20,40-44 years,40-44,High school graduate or GED completed,3,2021,2021,89,0.00%,41.2,1.22
Kansas,20,40-44 years,40-44,High school graduate or GED completed,3,2022,2022,69,0.00%,41.14,1.2
Kansas,20,40-44 years,40-44,High school graduate or GED completed,3,2023,2023,84,0.00%,40.9,1.02
Kansas,20,40-44 years,40-44,"Some college credit, but not a degree",4,2018,2018,88,0.00%,41.06,1.15
Kansas,20,40-44 years,40-44,"Some college credit, but not a degree",4,2019,2019,94,0.00%,41.19,1.31
Kansas,20,40-44 years,40-44,"Some college credit, but not a degree",4,2020,2020,78,0.00%,41.28,1.16
Kansas,20,40-44 years,40-44,"Some college credit, but not a degree",4,2021,2021,85,0.00%,41.24,1.32
Kansas,20,40-44 years,40-44,"Some college credit, but not a degree",4,2022,2022,126,0.00%,41.12,1.3
Kansas,20,40-44 years,40-44,"Some college credit, but not a degree",4,2023,2023,115,0.00%,41.02,1.17
Kansas,20,40-44 years,40-44,"Associate degree (AA, AS)",5,2018,2018,53,0.00%,40.74,0.87
Kansas,20,40-44 years,40-44,"Associate degree (AA, AS)",5,2019,2019,65,0.00%,41.11,1.24
Kansas,20,40-44 years,40-44,"Associate degree (AA, AS)",5,2020,2020,59,0.00%,40.85,1.16
Kansas,20,40-44 years,40-44,"Associate degree (AA, AS)",5,2021,2021,52,0.00%,41.25,1.21
Kansas,20,40-44 years,40-44,"Associate degree (AA, AS)",5,2022,2022,76,0.00%,41.07,1.32
Kansas,20,40-44 years,40-44,"Associate degree (AA, AS)",5,2023,2023,65,0.00%,41.28,1.3
Kansas,20,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,2018,2018,171,0.00%,41.02,1.1
Kansas,20,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,2019,2019,158,0.00%,41.24,1.21
Kansas,20,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,2020,2020,180,0.00%,41.18,1.24
Kansas,20,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,2021,2021,184,0.00%,41.12,1.24
Kansas,20,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,2022,2022,193,0.00%,41.18,1.21
Kansas,20,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,2023,2023,194,0.00%,41.06,1.17
Kansas,20,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2018,2018,98,0.00%,41.06,1.19
Kansas,20,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2019,2019,107,0.00%,41.04,1.24
Kansas,20,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2020,2020,88,0.00%,41.14,1.26
Kansas,20,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2021,2021,93,0.00%,41.24,1.24
Kansas,20,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2022,2022,105,0.00%,41.06,1.25
Kansas,20,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2023,2023,122,0.00%,41.15,1.25
Kansas,20,40-44 years,40-44,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2018,2018,27,0.00%,41.07,1.21
Kansas,20,40-44 years,40-44,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2019,2019,29,0.00%,41.1,1.03
Kansas,20,40-44 years,40-44,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2020,2020,34,0.00%,41.32,1.34
Kansas,20,40-44 years,40-44,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2021,2021,28,0.00%,40.75,1.18
Kansas,20,40-44 years,40-44,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2022,2022,30,0.00%,41.1,1.19
Kansas,20,40-44 years,40-44,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2023,2023,39,0.00%,41.18,1.06
Kansas,20,45-49 years,45-49,"Bachelor's degree (BA, AB, BS)",6,2020,2020,11,0.00%,46.27,0.96
Kansas,20,45-49 years,45-49,"Bachelor's degree (BA, AB, BS)",6,2022,2022,12,0.00%,45.75,0.83
Kansas,20,45-49 years,45-49,"Bachelor's degree (BA, AB, BS)",6,2023,2023,10,0.00%,46,1.41
Kentucky,21,Under 15 years,15,8th grade or less,1,2018,2018,15,0.00%,13.53,0.72
Kentucky,21,Under 15 years,15,8th grade or less,1,2019,2019,15,0.00%,13.6,0.61
Kentucky,21,Under 15 years,15,8th grade or less,1,2020,2020,14,0.00%,13.5,0.73
Kentucky,21,Under 15 years,15,8th grade or less,1,2021,2021,21,0.00%,13.67,0.47
Kentucky,21,Under 15 years,15,8th grade or less,1,2022,2022,25,0.00%,13.72,0.53
Kentucky,21,Under 15 years,15,8th grade or less,1,2023,2023,18,0.00%,13.78,0.42
Kentucky,21,Under 15 years,15,9th through 12th grade with no diploma,2,2018,2018,10,0.00%,14,0
Kentucky,21,Under 15 years,15,9th through 12th grade with no diploma,2,2019,2019,16,0.00%,14,0
Kentucky,21,Under 15 years,15,9th through 12th grade with no diploma,2,2020,2020,15,0.00%,14,0
Kentucky,21,Under 15 years,15,9th through 12th grade with no diploma,2,2021,2021,21,0.00%,13.95,0.21
Kentucky,21,Under 15 years,15,9th through 12th grade with no diploma,2,2022,2022,18,0.00%,13.94,0.23
Kentucky,21,Under 15 years,15,9th through 12th grade with no diploma,2,2023,2023,15,0.00%,14,0
Kentucky,21,15-19 years,15-19,8th grade or less,1,2018,2018,46,0.00%,17.37,1.48
Kentucky,21,15-19 years,15-19,8th grade or less,1,2019,2019,58,0.00%,16.9,1.58
Kentucky,21,15-19 years,15-19,8th grade or less,1,2020,2020,54,0.00%,17.17,1.67
Kentucky,21,15-19 years,15-19,8th grade or less,1,2021,2021,35,0.00%,17.06,1.67
Kentucky,21,15-19 years,15-19,8th grade or less,1,2022,2022,42,0.00%,17.21,1.54
Kentucky,21,15-19 years,15-19,8th grade or less,1,2023,2023,42,0.00%,17.36,1.6
Kentucky,21,15-19 years,15-19,9th through 12th grade with no diploma,2,2018,2018,1395,0.01%,17.47,1.18
Kentucky,21,15-19 years,15-19,9th through 12th grade with no diploma,2,2019,2019,1251,0.01%,17.52,1.22
Kentucky,21,15-19 years,15-19,9th through 12th grade with no diploma,2,2020,2020,1084,0.01%,17.49,1.18
Kentucky,21,15-19 years,15-19,9th through 12th grade with no diploma,2,2021,2021,1044,0.01%,17.46,1.19
Kentucky,21,15-19 years,15-19,9th through 12th grade with no diploma,2,2022,2022,1039,0.01%,17.45,1.23
Kentucky,21,15-19 years,15-19,9th through 12th grade with no diploma,2,2023,2023,966,0.01%,17.42,1.27
Kentucky,21,15-19 years,15-19,High school graduate or GED completed,3,2018,2018,1719,0.01%,18.55,0.61
Kentucky,21,15-19 years,15-19,High school graduate or GED completed,3,2019,2019,1580,0.01%,18.56,0.62
Kentucky,21,15-19 years,15-19,High school graduate or GED completed,3,2020,2020,1599,0.01%,18.56,0.63
Kentucky,21,15-19 years,15-19,High school graduate or GED completed,3,2021,2021,1541,0.01%,18.6,0.61
Kentucky,21,15-19 years,15-19,High school graduate or GED completed,3,2022,2022,1477,0.01%,18.55,0.65
Kentucky,21,15-19 years,15-19,High school graduate or GED completed,3,2023,2023,1385,0.01%,18.53,0.67
Kentucky,21,15-19 years,15-19,"Some college credit, but not a degree",4,2018,2018,432,0.00%,18.78,0.44
Kentucky,21,15-19 years,15-19,"Some college credit, but not a degree",4,2019,2019,367,0.00%,18.77,0.46
Kentucky,21,15-19 years,15-19,"Some college credit, but not a degree",4,2020,2020,325,0.00%,18.79,0.42
Kentucky,21,15-19 years,15-19,"Some college credit, but not a degree",4,2021,2021,338,0.00%,18.76,0.48
Kentucky,21,15-19 years,15-19,"Some college credit, but not a degree",4,2022,2022,252,0.00%,18.78,0.45
Kentucky,21,15-19 years,15-19,"Some college credit, but not a degree",4,2023,2023,245,0.00%,18.8,0.42
Kentucky,21,15-19 years,15-19,"Associate degree (AA, AS)",5,2018,2018,13,0.00%,18.85,0.36
Kentucky,21,15-19 years,15-19,"Associate degree (AA, AS)",5,2019,2019,10,0.00%,18.8,0.4
Kentucky,21,15-19 years,15-19,"Associate degree (AA, AS)",5,2020,2020,14,0.00%,19,0
Kentucky,21,15-19 years,15-19,"Associate degree (AA, AS)",5,2021,2021,13,0.00%,18.77,0.42
Kentucky,21,15-19 years,15-19,"Associate degree (AA, AS)",5,2023,2023,14,0.00%,19,0
Kentucky,21,15-19 years,15-19,Unknown or Not Stated,Unk,2018,2018,13,0.00%,18.15,0.95
Kentucky,21,15-19 years,15-19,Unknown or Not Stated,Unk,2019,2019,16,0.00%,17.88,0.99
Kentucky,21,15-19 years,15-19,Unknown or Not Stated,Unk,2020,2020,15,0.00%,18.2,0.75
Kentucky,21,15-19 years,15-19,Unknown or Not Stated,Unk,2021,2021,14,0.00%,17.86,1.06
Kentucky,21,15-19 years,15-19,Unknown or Not Stated,Unk,2022,2022,12,0.00%,17.75,1.3
Kentucky,21,15-19 years,15-19,Unknown or Not Stated,Unk,2023,2023,18,0.00%,18.39,0.95
Kentucky,21,20-24 years,20-24,8th grade or less,1,2018,2018,268,0.00%,22.29,1.31
Kentucky,21,20-24 years,20-24,8th grade or less,1,2019,2019,258,0.00%,22.34,1.32
Kentucky,21,20-24 years,20-24,8th grade or less,1,2020,2020,236,0.00%,22.13,1.37
Kentucky,21,20-24 years,20-24,8th grade or less,1,2021,2021,277,0.00%,22.1,1.36
Kentucky,21,20-24 years,20-24,8th grade or less,1,2022,2022,258,0.00%,22.07,1.36
Kentucky,21,20-24 years,20-24,8th grade or less,1,2023,2023,281,0.00%,22.29,1.33
Kentucky,21,20-24 years,20-24,9th through 12th grade with no diploma,2,2018,2018,1450,0.01%,21.82,1.41
Kentucky,21,20-24 years,20-24,9th through 12th grade with no diploma,2,2019,2019,1363,0.01%,21.88,1.41
Kentucky,21,20-24 years,20-24,9th through 12th grade with no diploma,2,2020,2020,1279,0.01%,21.77,1.37
Kentucky,21,20-24 years,20-24,9th through 12th grade with no diploma,2,2021,2021,1221,0.01%,21.85,1.4
Kentucky,21,20-24 years,20-24,9th through 12th grade with no diploma,2,2022,2022,1039,0.01%,21.96,1.35
Kentucky,21,20-24 years,20-24,9th through 12th grade with no diploma,2,2023,2023,1062,0.01%,21.97,1.39
Kentucky,21,20-24 years,20-24,High school graduate or GED completed,3,2018,2018,6199,0.04%,21.94,1.39
Kentucky,21,20-24 years,20-24,High school graduate or GED completed,3,2019,2019,6063,0.04%,21.94,1.39
Kentucky,21,20-24 years,20-24,High school graduate or GED completed,3,2020,2020,6190,0.04%,21.93,1.39
Kentucky,21,20-24 years,20-24,High school graduate or GED completed,3,2021,2021,5891,0.03%,21.98,1.4
Kentucky,21,20-24 years,20-24,High school graduate or GED completed,3,2022,2022,5937,0.03%,22,1.41
Kentucky,21,20-24 years,20-24,High school graduate or GED completed,3,2023,2023,5846,0.03%,22.02,1.39
Kentucky,21,20-24 years,20-24,"Some college credit, but not a degree",4,2018,2018,3759,0.02%,22.23,1.36
Kentucky,21,20-24 years,20-24,"Some college credit, but not a degree",4,2019,2019,3617,0.02%,22.23,1.35
Kentucky,21,20-24 years,20-24,"Some college credit, but not a degree",4,2020,2020,3214,0.02%,22.22,1.37
Kentucky,21,20-24 years,20-24,"Some college credit, but not a degree",4,2021,2021,2954,0.02%,22.25,1.37
Kentucky,21,20-24 years,20-24,"Some college credit, but not a degree",4,2022,2022,2878,0.02%,22.24,1.34
Kentucky,21,20-24 years,20-24,"Some college credit, but not a degree",4,2023,2023,2595,0.02%,22.3,1.36
Kentucky,21,20-24 years,20-24,"Associate degree (AA, AS)",5,2018,2018,847,0.00%,22.78,1.17
Kentucky,21,20-24 years,20-24,"Associate degree (AA, AS)",5,2019,2019,818,0.00%,22.69,1.22
Kentucky,21,20-24 years,20-24,"Associate degree (AA, AS)",5,2020,2020,780,0.00%,22.77,1.17
Kentucky,21,20-24 years,20-24,"Associate degree (AA, AS)",5,2021,2021,832,0.00%,22.77,1.2
Kentucky,21,20-24 years,20-24,"Associate degree (AA, AS)",5,2022,2022,836,0.00%,22.8,1.19
Kentucky,21,20-24 years,20-24,"Associate degree (AA, AS)",5,2023,2023,781,0.00%,22.7,1.18
Kentucky,21,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,2018,2018,612,0.00%,23.32,0.82
Kentucky,21,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,2019,2019,623,0.00%,23.36,0.82
Kentucky,21,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,2020,2020,625,0.00%,23.38,0.83
Kentucky,21,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,2021,2021,677,0.00%,23.3,0.85
Kentucky,21,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,2022,2022,712,0.00%,23.23,0.86
Kentucky,21,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,2023,2023,703,0.00%,23.26,0.88
